,title,movieId,user_id
0,Dinotopia,64167,604
1,Alpha Dog,50442,604
2,Love Actually,6942,604
3,Delirious,5337,604
4,Somewhere in Time,1286,604
5,Broken Arrow,95,604
6,Balto,13,604
7,I Origins,112804,604
8,Commando,6664,604
9,"Girl with the Dragon Tattoo, The",91658,604
10,Little Man Tate,4787,604
0,Dreamgirls,49824,373
1,Australia,63853,373
2,Nebraska,105197,373
3,The Scorpion King,5313,373
4,Rango,84944,373
5,Night on Earth,1279,373
6,Mr. Wrong,102,373
7,Nixon,14,373
8,Batman Begins,33794,373
9,Exit Through the Gift Shop,77455,373
10,Tokyo Story (Tôkyô monogatari),6643,373
0,Freedom Writers,49910,39
1,Guardians of the Galaxy,112852,39
2,Ender's Game,106002,39
3,Down and Out in Beverly Hills,5548,39
4,I Am Number Four,85056,39
5,"Pursuit of Happyness, The",47099,39
6,Cashback,53318,39
7,Enron: The Smartest Guys in the Room,33154,39
8,Failure to Launch,44004,39
9,Scary Movie 2,4388,39
10,"Good bye, Lenin!",7323,39
0,Dallas Buyers Club,106100,323
1,Breach,51080,323
2,Scream 4,86295,323
3,Hot Rod,54256,323
4,5 Centimeters per Second (Byôsoku 5 senchimêtoru),64993,323
5,Scary Movie 4,44972,323
6,The Alamo,7379,323
7,American Ultra,140711,323
8,Doctor Who: The Next Doctor,147380,323
9,How to Be Single,148956,323
10,Daddy's Home,149352,323
